Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
450,890,450,856.10558,450,890,450,1.0158
451,1070,451,1030.26476,451,1070,451,1.0148
452,1070,452,1025.21345,452,1070,452,1.0198
453,1260,453,1209.15779,453,1260,453,1.0182
454,1160,454,1117.914,454,1160,454,1.0139
455,890,455,854.67523,455,890,455,1.0175
456,1000,456,962.86426,456,1000,456,1.0148
457,910,457,874.99935,457,910,457,1.0162
458,840,458,810.00327,458,840,458,1.0133
459,970,459,930.76816,459,970,459,1.0183
460,690,460,665.95132,460,690,460,1.0124
461,820,461,786.52598,461,820,461,1.0187
462,810,462,779.61276,462,810,462,1.0152
463,700,463,671.42462,463,700,463,1.0187
464,810,464,780.22759,464,810,464,1.0144
465,840,465,808.16888,465,840,465,1.0156
466,910,466,875.51628,466,910,466,1.0156
467,900,467,865.38397,467,900,467,1.0162
468,900,468,866.49245,468,900,468,1.0149
469,800,469,769.3059,469,800,469,1.0161
470,740,470,710.07055,470,740,470,1.0183
471,930,471,892.82436,471,930,471,1.0178
472,830,472,796.50871,472,830,472,1.0182
473,860,473,827.81854,473,860,473,1.0151
474,860,474,826.35323,474,860,474,1.0169
475,710,475,685.05125,475,710,475,1.0127
476,780,476,749.40947,476,780,476,1.017
477,860,477,828.38979,477,860,477,1.0144
478,800,478,768.24739,478,800,478,1.0175
479,890,479,857.28711,479,890,479,1.0144
480,840,480,807.53277,480,840,480,1.0164
481,780,481,748.52625,481,780,481,1.0182
482,760,482,729.97851,482,760,482,1.0173
483,680,483,653.71701,483,680,483,1.0164
484,740,484,713.01138,484,740,484,1.0141
485,840,485,807.29449,485,840,485,1.0167
486,730,486,701.50836,486,730,486,1.0168
487,790,487,761.41308,487,790,487,1.0138
488,790,488,759.24125,488,790,488,1.0167
489,870,489,837.44434,489,870,489,1.0151
490,820,490,788.77143,490,820,490,1.0158
491,880,491,845.65391,491,880,491,1.0168
492,820,492,788.61616,492,820,492,1.016
493,860,493,828.06327,493,860,493,1.0148
494,980,494,942.95654,494,980,494,1.0155
495,950,495,911.21912,495,950,495,1.0187
496,850,496,817.54844,496,850,496,1.0159
497,800,497,768.02095,497,800,497,1.0178
498,770,498,740.52981,498,770,498,1.016
499,990,499,951.8287,499,990,499,1.0163
500,750,500,720.72777,500,750,500,1.0168
501,850,501,817.78993,501,850,501,1.0156
502,660,502,634.42762,502,660,502,1.0165
503,740,503,709.72207,503,740,503,1.0188
504,920,504,885.13734,504,920,504,1.0156
505,790,505,759.76435,505,790,505,1.016
506,1040,506,1005.04326,506,1040,506,1.0111
507,920,507,883.83196,507,920,507,1.0171
508,1010,508,972.78048,508,1010,508,1.0145
509,770,509,742.35647,509,770,509,1.0135
510,820,510,787.45358,510,820,510,1.0175
511,900,511,865.89522,511,900,511,1.0156
512,890,512,857.11812,512,890,512,1.0146
513,670,513,644.48397,513,670,513,1.0158
514,780,514,747.9386,514,780,514,1.019
515,840,515,806.34277,515,840,515,1.0179
516,870,516,837.52685,516,870,516,1.015
517,910,517,874.13914,517,910,517,1.0172
518,950,518,914.36064,518,950,518,1.0152
519,770,519,740.23838,519,770,519,1.0164
520,850,520,819.32274,520,850,520,1.0137
521,840,521,806.34277,521,840,521,1.0179
522,880,522,848.15634,522,880,522,1.0138
523,940,523,902.60198,523,940,523,1.0176
524,860,524,826.35323,524,860,524,1.0169
525,970,525,935.45323,525,970,525,1.0132
526,830,526,797.52696,526,830,526,1.0169
527,740,527,712.51956,527,740,527,1.0148
528,940,528,904.20139,528,940,528,1.0158
529,1040,529,1000.68857,529,1040,529,1.0155
530,880,530,845.48761,530,880,530,1.017
531,850,531,818.59596,531,850,531,1.0146
532,710,532,682.22186,532,710,532,1.0169
533,770,533,740.16555,533,770,533,1.0165
534,850,534,816.34309,534,850,534,1.0174
535,970,535,937.39612,535,970,535,1.0111
536,960,536,922.53154,536,960,536,1.0168
537,1060,537,1020.73671,537,1060,537,1.0147
538,910,538,875.86125,538,910,538,1.0152
539,940,539,904.29042,539,940,539,1.0157
540,760,540,730.48115,540,760,540,1.0166
