Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
450,860,450,825.05508,450,860,450,1.0185
451,950,451,912.92184,451,950,451,1.0168
452,960,452,920.72052,452,960,452,1.0188
453,800,453,770.06376,453,800,453,1.0151
454,780,454,748.52625,454,780,454,1.0182
455,630,455,603.86721,455,630,455,1.0194
456,860,456,824.16497,456,860,456,1.0196
457,980,457,938.88848,457,980,457,1.0199
458,820,458,786.063,458,820,458,1.0193
459,980,459,938.88848,459,980,459,1.0199
460,710,460,681.95361,460,710,460,1.0173
461,670,461,641.39005,461,670,461,1.0207
462,710,462,682.75899,462,710,462,1.0161
463,860,463,824.81214,463,860,463,1.0188
464,720,464,690.74379,464,720,464,1.0185
465,800,465,768.8519,465,800,465,1.0167
466,820,466,785.75465,466,820,466,1.0197
467,900,467,862.07547,467,900,467,1.0201
468,800,468,767.34242,468,800,468,1.0187
469,860,469,823.76101,469,860,469,1.0201
470,850,470,818.11215,470,850,470,1.0152
471,910,471,872.50941,471,910,471,1.0191
472,870,472,834.48488,472,870,472,1.0187
473,910,473,873.19487,473,910,473,1.0183
474,850,474,816.42333,474,850,474,1.0173
475,710,475,681.95361,475,710,475,1.0173
476,860,476,825.37924,476,860,476,1.0181
477,890,477,854.50726,477,890,477,1.0177
478,910,478,874.05322,478,910,478,1.0173
479,770,479,738.05992,479,770,479,1.0194
480,710,480,682.96063,480,710,480,1.0158
481,840,481,804.9194,481,840,481,1.0197
482,910,482,874.91325,482,910,482,1.0163
483,650,483,624.3851,483,650,483,1.0172
484,950,484,908.45461,484,950,484,1.0218
485,970,485,929.03471,485,970,485,1.0202
486,810,486,778.61571,486,810,486,1.0165
487,960,487,918.55667,487,960,487,1.0212
488,750,488,720.23193,488,750,488,1.0175
489,760,489,726.97713,489,760,489,1.0215
490,780,490,748.67331,490,780,490,1.018
491,1060,491,1019.43064,491,1060,491,1.016
492,980,492,937.96881,492,980,492,1.0209
493,930,493,895.37553,493,930,493,1.0149
494,740,494,708.40095,494,740,494,1.0207
495,800,495,764.56546,495,800,495,1.0224
496,900,496,861.99097,496,900,496,1.0202
497,940,497,899.86066,497,940,497,1.0207
498,780,498,748.74686,498,780,498,1.0179
499,910,499,871.82502,499,910,499,1.0199
500,730,500,699.23899,500,730,500,1.0201
501,910,501,872.76633,501,910,501,1.0188
502,650,502,622.42701,502,650,502,1.0204
503,830,503,794.47998,503,830,503,1.0208
504,860,504,824.24581,504,860,504,1.0195
505,910,505,877.33038,505,910,505,1.0135
506,780,506,747.64512,506,780,506,1.0194
507,980,507,941.47317,507,980,507,1.0171
508,960,508,920.9013,508,960,508,1.0186
509,720,509,691.21886,509,720,509,1.0178
510,800,510,766.06402,510,800,510,1.0204
511,990,511,950.2392,511,990,511,1.018
512,940,512,901.98151,512,940,512,1.0183
513,660,513,632.25066,513,660,513,1.02
514,930,514,892.03556,514,930,514,1.0187
515,1000,515,958.51938,515,1000,515,1.0194
516,730,516,701.92255,516,730,516,1.0162
517,850,517,814.10258,517,850,517,1.0202
518,810,518,778.53912,518,810,518,1.0166
519,890,519,853.50088,519,890,519,1.0189
520,870,520,836.94964,520,870,520,1.0157
521,810,521,776.47687,521,810,521,1.0193
522,830,522,795.96149,522,830,522,1.0189
523,1000,523,960.87585,523,1000,523,1.0169
524,1020,524,978.5537,524,1020,524,1.0185
525,750,525,718.74852,525,750,525,1.0196
526,880,526,845.1552,526,880,526,1.0174
527,990,527,948.65501,527,990,527,1.0197
528,830,528,797.37013,528,830,528,1.0171
529,740,529,708.8871,529,740,529,1.02
530,970,530,931.13392,530,970,530,1.0179
531,1030,531,988.43851,531,1030,531,1.0182
532,840,532,806.34277,532,840,532,1.0179
533,860,533,824.00334,533,860,533,1.0198
534,760,534,728.68917,534,760,534,1.0191
535,820,535,785.9088,535,820,535,1.0195
536,1060,536,1014.33898,536,1060,536,1.0211
537,860,537,827.32953,537,860,537,1.0157
538,910,538,871.31243,538,910,538,1.0205
