Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
450,910,450,872.33821,450,910
451,930,451,9368212.675,451,930
452,580,452,6296961.112,452,580
453,830,453,9112417.573,453,830
454,950,454,1.05E+07,454,950
455,770,455,8549753.235,455,770
456,860,456,9658834.524,456,860
457,870,457,9884764.537,457,870
458,740,458,8407730.756,458,740
459,810,459,9097274.378,459,810
460,800,460,8984962.348,460,800
461,830,461,9321898.436,461,830
462,810,462,9097274.378,462,810
463,880,463,9883458.583,463,880
464,780,464,8862202.688,464,780
465,700,465,7861842.055,465,700
466,700,466,7861842.055,466,700
467,740,467,8311090.172,467,740
468,940,468,1.03E+07,468,940
469,880,469,9661358.39,469,880
470,940,470,1.02E+07,470,940
471,970,471,1.06E+07,471,970
472,660,472,7165507.473,472,660
473,770,473,8359758.718,473,770
474,700,474,7685171.447,474,700
475,800,475,8783053.082,475,800
476,890,476,9662578.259,476,890
477,770,477,8359758.718,477,770
478,810,478,8794031.898,478,810
479,970,479,1.05E+07,479,970
480,910,480,9879714.849,480,910
481,750,481,8142622.128,481,750
482,760,482,8251190.423,482,760
483,830,483,9011168.489,483,830
484,730,484,7925485.538,484,730
485,870,485,9445441.669,485,870
486,910,486,9879714.849,486,910
487,840,487,9119736.784,487,840
488,880,488,9554009.964,488,880
489,820,489,8902600.194,489,820
490,1010,490,1.10E+07,490,1010
491,790,491,8576895.308,491,790
492,940,492,1.02E+07,492,940
493,830,493,9011168.489,493,830
494,900,494,9663771.317,494,900
495,840,495,8921481.636,495,840
496,930,496,9985897.028,496,930
497,840,497,9119736.784,497,840
498,990,498,1.07E+07,498,990
499,900,499,9663771.317,499,900
500,860,500,9234270.37,500,860
501,750,501,8142622.128,501,750
502,750,502,8142622.128,502,750
503,900,503,9663771.317,503,900
504,700,504,7516266.58,504,700
505,950,505,1.02E+07,505,950
506,880,506,9554009.964,506,880
507,760,507,8251190.423,507,760
508,840,508,9222205.736,508,840
509,850,509,9331993.9,509,850
510,740,510,8124324.101,510,740
511,720,511,7904747.774,511,720
512,920,512,9988283.144,512,920
513,800,513,8685463.603,513,800
514,800,514,8685463.603,514,800
515,850,515,9228305.079,515,850
516,740,516,7945767.527,516,740
517,780,517,8375268.475,517,780
518,870,518,9341645.606,518,870
519,750,519,8053142.764,519,750
520,700,520,7516266.58,520,700
521,900,521,9663771.317,521,900
522,970,522,1.05E+07,522,970
523,940,523,1.01E+07,523,940
524,800,524,8590018.948,524,800
525,840,525,9019519.896,525,840
526,890,526,9556396.08,526,890
527,750,527,8053142.764,527,750
528,740,528,7945767.527,528,740
529,910,529,9771146.554,529,910
530,910,530,9664938.439,530,910
531,940,531,1.01E+07,531,940
532,890,532,9556396.08,532,890
533,750,533,7965608.604,533,750
534,780,534,8375268.475,534,780
535,830,535,8912144.659,535,830
536,990,536,1.05E+07,536,990
537,770,537,8178024.833,537,770
538,800,538,8496649.177,538,800
539,780,539,8284232.948,539,780
540,920,540,9771146.554,540,920
541,950,541,1.01E+07,541,950
542,700,542,7434568.03,542,700
543,860,543,9234270.37,543,860
544,820,544,8709065.407,544,820
545,960,545,1.02E+07,545,960
546,960,546,1.02E+07,546,960
547,770,547,8267893.238,547,770
548,790,548,8482643.712,548,790
549,790,549,8482643.712,549,790
550,840,550,8921481.636,550,840
551,730,551,7838392.29,551,730
552,810,552,8602857.292,552,810
553,720,553,7731017.054,553,720
554,790,554,8390441.063,554,790
555,890,555,9556396.08,555,890
556,780,556,8284232.948,556,780
557,870,557,9240105.98,557,870
558,910,558,9664938.439,558,910
559,920,559,9771146.554,559,920
560,870,560,9240105.98,560,870
561,780,561,8284232.948,561,780
562,860,562,9133897.866,562,860
563,660,563,7009735.571,563,660
564,780,564,8284232.948,564,780
565,930,565,9877354.669,565,930
566,870,566,9240105.98,566,870
567,720,567,7564758.622,567,720
568,1050,568,1.10E+07,568,1050
569,880,569,9346314.095,569,880
570,860,570,9035683.91,570,860
571,690,571,7328359.915,571,690
572,970,572,1.03E+07,572,970
573,810,573,8602857.292,573,810
574,860,574,9035683.91,574,860
575,930,575,9877354.669,575,930
576,780,576,8195155.174,576,780
577,850,577,8930617.818,577,850
578,840,578,8825551.726,578,840
579,800,579,8405287.358,579,800
580,620,580,6514097.703,580,620
581,820,581,8615419.542,581,820
582,800,582,8405287.358,582,800
583,950,583,9981278.738,583,950
584,820,584,8615419.542,584,820
585,910,585,9561014.37,585,910
586,880,586,9245816.094,586,880
587,1010,587,1.07E+07,587,1010
588,890,588,9350882.186,588,890
589,1080,589,1.13E+07,589,1080
590,880,590,9346314.095,590,880
591,970,591,1.02E+07,591,970
592,770,592,8090089.082,592,770
593,850,593,8930617.818,593,850
594,710,594,7459692.53,594,710
595,800,595,8405287.358,595,800
596,690,596,7249560.346,596,690
597,830,597,8720485.634,597,830
598,810,598,8510353.45,598,810
599,760,599,7900075.937,599,760
600,840,600,8825551.726,600,840
601,860,601,9035683.91,601,860
602,820,602,8615419.542,602,820
603,830,603,8720485.634,603,830
604,760,604,7985022.99,604,760
605,810,605,8510353.45,605,810
606,830,606,8720485.634,606,830
607,1160,607,1.22E+07,607,1160
608,770,608,8090089.082,608,770
609,930,609,9667198.186,609,930
610,850,610,8930617.818,610,850
611,740,611,7859400.489,611,740
612,740,612,7774890.806,612,740
613,1000,613,1.04E+07,613,1000
614,880,614,9245816.094,614,880
615,780,615,8195155.174,615,780
616,820,616,8615419.542,616,820
617,800,617,8315869.408,617,800
618,780,618,8195155.174,618,780
619,860,619,9035683.91,619,860
620,710,620,7459692.53,620,710
621,680,621,7144494.254,621,680
622,740,622,7692179.202,622,740
623,910,623,9561014.37,623,910
624,850,624,8835611.246,624,850
625,1000,625,1.04E+07,625,1000
626,850,626,8930617.818,626,850
627,720,627,7564758.622,627,720
628,710,628,7380334.099,628,710
629,940,629,9876212.646,629,940
630,840,630,8825551.726,630,840
631,860,631,9133897.866,631,860
632,930,632,9877354.669,632,930
633,940,633,9876212.646,633,940
634,940,634,9771146.554,634,940
635,800,635,8315869.408,635,800
636,680,636,7144494.254,636,680
637,660,637,6934362.07,637,660
638,650,638,6829295.978,638,650
639,740,639,7774890.806,639,740
640,870,640,9140750.002,640,870
641,880,641,9346314.095,641,880
642,980,642,1.03E+07,642,980
643,930,643,9667198.186,643,930
644,700,644,7276385.732,644,700
645,840,645,8825551.726,645,840
646,740,646,7692179.202,646,740
647,920,647,9666080.462,647,920
648,960,648,1.01E+07,648,960
649,850,649,8930617.818,649,850
650,870,650,9043507.981,650,870
651,750,651,7879956.898,651,750
652,720,652,7484282.467,652,720
653,1040,653,1.09E+07,653,1040
654,940,654,9876212.646,654,940
655,780,655,8195155.174,655,780
656,910,656,9561014.37,656,910
657,720,657,7564758.622,657,720
658,850,658,8835611.246,658,850
659,870,659,9140750.002,659,870
660,770,660,8004024.305,660,770
661,910,661,9561014.37,661,910
662,990,662,1.03E+07,662,990
663,850,663,8835611.246,663,850
664,1100,664,1.14E+07,664,1100
665,910,665,9459301.451,665,910
666,830,666,8627714.51,666,830
667,870,667,9043507.981,667,870
668,730,668,7669824.714,668,730
669,720,669,7564758.622,669,720
670,730,670,7669824.714,670,730
671,830,671,8720485.634,671,830
672,860,672,9035683.91,672,860
673,790,673,8300221.266,673,790
674,700,674,7354626.438,674,700
675,940,675,9876212.646,675,940
676,880,676,9245816.094,676,880
677,810,677,8510353.45,677,810
678,870,678,9140750.002,678,870
679,850,679,8930617.818,679,850
680,700,680,7354626.438,680,700
681,710,681,7459692.53,681,710
