Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
450,690,450,662.67851,450,690
451,830,451,794.40216,451,830
452,810,452,776.9342,452,810
453,840,453,804.2884,453,840
454,850,454,816.66417,454,850
455,750,455,721.0114,455,750
456,750,456,718.39623,456,750
457,800,457,767.9455,457,800
458,830,458,795.57108,458,830
459,700,459,672.6131,459,700
460,930,460,887.76537,460,930
461,800,461,769.83625,461,800
462,760,462,726.76369,462,760
463,790,463,758.12274,463,790
464,960,464,922.44082,464,960
465,690,465,663.00434,465,690
466,920,466,884.09273,466,920
467,640,467,615.3236,467,640
468,770,468,738.42211,468,770
469,850,469,817.87046,469,850
470,740,470,710.27981,470,740
471,830,471,796.11776,471,830
472,940,472,901.00822,472,940
473,750,473,720.01964,473,750
474,890,474,853.83608,474,890
475,830,475,796.90003,475,830
476,860,476,824.65025,476,860
477,750,477,720.09039,477,750
478,770,478,739.22017,478,770
479,780,479,747.42516,479,780
480,670,480,643.72352,480,670
481,840,481,804.60377,481,840
482,780,482,748.30577,482,780
483,800,483,768.70068,483,800
484,890,484,855.51603,484,890
485,880,485,845.98671,485,880
486,850,486,816.26286,486,850
487,950,487,913.91053,487,950
488,790,488,757.00753,488,790
489,910,489,873.53801,489,910
490,980,490,942.77086,490,980
491,800,491,767.79464,491,800
492,800,492,769.2302,492,800
493,780,493,750.51643,493,780
494,860,494,825.21713,494,860
495,970,495,932.04958,495,970
496,940,496,901.18502,496,940
497,860,497,827.98168,497,860
498,1010,498,968.00961,498,1010
499,770,499,739.6562,499,770
500,1070,500,1026.01833,500,1070
501,860,501,825.70365,501,860
502,860,502,826.19074,502,860
503,990,503,951.36065,503,990
504,1130,504,1081.85338,504,1130
505,670,505,642.77547,505,670
506,850,506,813.94302,506,850
507,990,507,951.26709,507,990
508,780,508,746.40038,508,780
509,880,509,846.15321,509,880
510,930,510,890.11326,510,930
511,950,511,914.00051,511,950
512,770,512,738.49459,512,770
513,940,513,902.95692,513,940
514,810,514,778.0799,514,810
515,860,515,824.65025,515,860
516,1000,516,958.70747,516,1000
517,710,517,682.02065,517,710
518,1050,518,1007.03807,518,1050
519,820,519,787.76327,519,820
520,1030,520,989.11852,520,1030
521,850,521,815.06129,521,850
