Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
450,680,450,655.00588,450,680,450,1.0144
451,600,451,577.54782,451,600,451,1.0151
452,810,452,780.45841,452,810,452,1.0141
453,710,453,682.62462,453,710,453,1.0163
454,630,454,607.20283,454,630,454,1.0138
455,750,455,721.57935,455,750,455,1.0156
456,740,456,713.29273,456,740,456,1.0137
457,800,457,768.39843,457,800,457,1.0173
458,790,458,761.78879,458,790,458,1.0133
459,930,459,892.47361,459,930,459,1.0182
460,690,460,665.81978,460,690,460,1.0126
461,800,461,770.21551,461,800,461,1.0149
462,590,462,568.70637,462,590,462,1.0137
463,770,463,741.47855,463,770,463,1.0147
464,930,464,894.58223,464,930,464,1.0158
465,700,465,674.2043,465,700,465,1.0145
466,770,466,739.94717,466,770,466,1.0168
467,700,467,673.47406,467,700,467,1.0156
468,680,468,653.45984,468,680,468,1.0168
469,700,469,672.81159,469,700,469,1.0166
470,680,470,653.71701,470,680,470,1.0164
471,800,471,769.91207,471,800,471,1.0153
472,760,472,729.90676,472,760,472,1.0174
473,760,473,731.77684,473,760,473,1.0148
474,760,474,730.91254,474,760,474,1.016
475,880,475,846.23649,475,880,475,1.0161
476,670,476,645.75539,476,670,476,1.0138
477,720,477,693.26227,477,720,477,1.0148
478,820,478,789.62651,478,820,478,1.0147
479,630,479,606.60449,479,630,479,1.0148
480,790,480,760.58782,480,790,480,1.0149
481,620,481,594.632,481,620,481,1.0188
482,700,482,673.40776,482,700,482,1.0157
483,690,483,662.93915,483,690,483,1.017
484,640,484,614.47713,484,640,484,1.0177
485,580,485,557.63702,485,580,485,1.0163
486,800,486,768.6251,486,800,486,1.017
487,760,487,732.8601,487,760,487,1.0133
488,680,488,653.13867,488,680,488,1.0173
489,670,489,644.48397,489,670,489,1.0158
490,740,490,712.80052,490,740,490,1.0144
491,730,491,702.4064,491,730,491,1.0155
492,720,492,692.51162,492,720,492,1.0159
493,690,493,662.15784,493,690,493,1.0182
494,830,494,799.2561,494,830,494,1.0147
495,520,495,498.52789,495,520,495,1.0192
496,780,496,750.07325,496,780,496,1.0161
497,850,497,814.34205,497,850,497,1.0199
498,660,498,633.4928,498,660,498,1.018
499,600,499,576.18555,499,600,499,1.0175
500,550,500,529.26242,500,550,500,1.0154
501,750,501,721.29527,501,750,501,1.016
502,620,502,596.85821,502,620,502,1.015
503,650,503,625.67681,503,650,503,1.0151
504,800,504,769.60887,504,800,504,1.0157
505,790,505,758.34618,505,790,505,1.0179
506,780,506,751.33028,506,780,506,1.0144
507,710,507,680.08176,507,710,507,1.0201
508,720,508,690.60818,508,720,508,1.0187
509,820,509,787.99569,509,820,509,1.0168
510,620,510,597.32901,510,620,510,1.0142
511,740,511,709.30434,511,740,511,1.0194
512,590,512,568.1459,512,590,512,1.0147
