Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
450,1030,450,990.28643,450,1030,450,1.0163
451,990,451,952.9539,451,990,451,1.0151
452,730,452,701.85349,452,730,452,1.0163
453,1130,453,1086.96551,453,1130,453,1.0158
454,920,454,885.05019,454,920,454,1.0157
455,1100,455,1059.35947,455,1100,455,1.0146
456,980,456,942.95654,456,980,456,1.0155
457,800,457,771.81252,457,800,457,1.0128
458,900,458,864.87332,458,900,458,1.0168
459,750,459,723.2172,459,750,459,1.0133
460,830,460,798.94115,460,830,460,1.0151
461,590,461,566.52678,461,590,461,1.0176
462,700,462,673.27518,462,700,462,1.0159
463,810,463,779.92005,463,810,463,1.0148
464,810,464,780.45841,464,810,464,1.0141
465,830,465,798.54782,465,830,465,1.0156
466,640,466,615.3236,466,640,466,1.0163
467,820,467,791.18596,467,820,467,1.0127
468,790,468,759.46535,468,790,468,1.0164
469,1060,469,1019.23001,469,1060,469,1.0162
470,840,470,807.29449,470,840,470,1.0167
471,770,471,741.25939,471,770,471,1.015
472,980,472,942.67805,472,980,472,1.0158
473,810,473,782.23253,473,810,473,1.0118
474,990,474,950.70615,474,990,474,1.0175
475,740,475,712.66001,475,740,475,1.0146
476,730,476,703.3761,476,730,476,1.0141
477,750,477,720.58603,477,750,477,1.017
478,1000,478,962.1058,478,1000,478,1.0156
479,710,479,683.02787,479,710,479,1.0157
480,880,480,845.82028,480,880,480,1.0166
481,840,481,809.92334,481,840,481,1.0134
482,810,482,778.99889,482,810,482,1.016
483,800,483,771.35556,483,800,483,1.0134
484,720,484,691.62657,484,720,484,1.0172
485,660,485,634.98983,485,660,485,1.0156
486,800,486,770.67113,486,800,486,1.0143
487,840,487,809.20468,487,840,487,1.0143
488,840,488,807.77119,488,840,488,1.0161
489,560,489,540.21543,489,560,489,1.0129
490,720,490,692.64798,490,720,490,1.0157
491,790,491,761.18783,491,790,491,1.0141
492,720,492,693.05739,492,720,492,1.0151
493,810,493,780.68936,493,810,493,1.0138
494,850,494,818.59596,494,850,494,1.0146
495,600,495,576.86588,495,600,495,1.0163
496,910,496,876.46559,496,910,496,1.0145
497,780,497,751.40435,497,780,497,1.0143
498,730,498,702.06073,498,730,498,1.016
499,920,499,885.57333,499,920,499,1.0151
500,910,500,876.98426,500,910,500,1.0139
501,1060,501,1019.43064,501,1060,501,1.016
502,910,502,875.3439,502,910,502,1.0158
503,690,503,666.28038,503,690,503,1.0119
504,680,504,655.26427,504,680,504,1.014
505,670,505,643.34397,505,670,505,1.0176
506,970,506,934.7152,506,970,506,1.014
507,870,507,836.62017,507,870,507,1.0161
508,670,508,645.05549,508,670,508,1.0149
509,910,509,875.68873,509,910,509,1.0154
510,670,510,647.03184,510,670,510,1.0118
511,1010,511,971.05756,511,1010,511,1.0163
512,680,512,655.13505,512,680,512,1.0142
513,890,513,857.8791,513,890,513,1.0137
514,870,514,835.05869,514,870,514,1.018
515,730,515,703.51484,515,730,515,1.0139
516,770,516,740.23838,516,770,516,1.0164
517,860,517,828.55315,517,860,517,1.0142
518,950,518,918.06836,518,950,518,1.0111
519,830,519,798.94115,519,830,519,1.0151
520,760,520,733.00478,520,760,520,1.0131
521,970,521,934.7152,521,970,521,1.014
522,830,522,797.60539,522,830,522,1.0168
523,810,523,779.38244,523,810,523,1.0155
524,830,524,800.12348,524,830,524,1.0136
525,840,525,807.8507,525,840,525,1.016
526,970,526,936.65502,526,970,526,1.0119
527,860,527,827.24808,527,860,527,1.0158
528,840,528,809.12491,528,840,528,1.0144
529,870,529,837.52685,529,870,529,1.015
530,700,530,674.60327,530,700,530,1.0139
531,730,531,701.50836,531,730,531,1.0168
532,930,532,896.08188,532,930,532,1.0141
533,920,533,885.48609,533,920,533,1.0152
534,1070,534,1030.46785,534,1070,534,1.0146
535,860,535,830.19028,535,860,535,1.0122
536,820,536,790.24955,536,820,536,1.0139
537,870,537,839.01476,537,870,537,1.0132
538,850,538,820.69907,538,850,538,1.012
539,930,539,895.46377,539,930,539,1.0148
