Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
450,720,450,693.87765,450,720,450,1.0139
451,690,451,664.11457,451,690,451,1.0152
452,730,452,702.26809,452,730,452,1.0157
453,860,453,828.88006,453,860,453,1.0138
454,930,454,892.99983,454,930,454,1.0176
455,830,455,798.07633,455,830,455,1.0162
456,900,456,866.74866,456,900,456,1.0146
457,780,457,749.99944,457,780,457,1.0162
458,900,458,867.34707,458,900,458,1.0139
459,860,459,829.78039,459,860,459,1.0127
460,720,460,693.74081,460,720,460,1.0141
461,880,461,849.32921,461,880,461,1.0124
462,750,462,722.36175,462,750,462,1.0145
463,730,463,703.30674,463,730,463,1.0142
464,850,464,818.59596,464,850,464,1.0146
465,860,465,828.30814,465,860,465,1.0145
466,910,466,875.08546,466,910,466,1.0161
467,830,467,799.96564,467,830,467,1.0138
468,730,468,703.51484,468,730,468,1.0139
469,790,469,760.58782,469,790,469,1.0149
470,880,470,847.98905,470,880,470,1.014
471,870,471,841.09009,471,870,471,1.0107
472,780,472,751.10814,472,780,472,1.0147
473,930,473,898.56287,473,930,473,1.0113
474,790,474,763.06898,474,790,474,1.0116
475,920,475,886.88386,475,920,475,1.0136
476,880,476,847.48758,476,880,476,1.0146
477,670,477,645.75539,477,670,477,1.0138
478,770,478,739.80166,478,770,478,1.017
479,700,479,673.80579,479,700,479,1.0151
480,940,480,905.89582,480,940,480,1.0139
481,920,481,885.05019,481,920,481,1.0157
482,680,482,654.81223,482,680,482,1.0147
483,720,483,693.12567,483,720,483,1.015
484,850,484,819.64616,484,850,484,1.0133
485,930,485,895.55201,485,930,485,1.0147
486,890,486,859.65999,486,890,486,1.0116
487,730,487,704.07038,487,730,487,1.0131
488,930,488,895.55201,488,930,488,1.0147
489,800,489,768.47397,489,800,489,1.0172
490,760,490,733.43915,490,760,490,1.0125
491,780,491,749.70434,491,780,491,1.0166
492,700,492,672.6131,492,700,492,1.0169
493,840,493,808.00976,493,840,493,1.0158
494,820,494,791.73322,494,820,494,1.012
495,630,495,606.24604,495,630,495,1.0154
496,810,496,781.69172,496,810,496,1.0125
497,900,497,867.68938,497,900,497,1.0135
498,710,498,682.6918,498,710,498,1.0162
499,830,499,801.23016,499,830,499,1.0122
500,760,500,733.07714,500,760,500,1.013
501,950,501,915.71365,501,950,501,1.0137
502,840,502,812.24771,502,840,502,1.0105
503,850,503,817.95101,503,850,503,1.0154
504,950,504,915.35245,504,950,504,1.0141
505,880,505,846.81987,505,880,505,1.0154
506,740,506,712.09853,506,740,506,1.0154
507,790,507,761.2629,507,790,507,1.014
508,950,508,914.99155,508,950,508,1.0145
509,760,509,732.8601,509,760,509,1.0133
510,840,510,809.28447,510,840,510,1.0142
511,910,511,877.50354,511,910,511,1.0133
512,730,512,702.4064,512,730,512,1.0155
513,730,513,704.41803,513,730,513,1.0126
514,880,514,846.31978,514,880,514,1.016
515,820,515,791.81146,515,820,515,1.0119
516,940,516,903.04569,516,940,516,1.0171
517,800,517,771.20336,517,800,517,1.0136
518,770,518,740.23838,518,770,518,1.0164
519,790,519,760.88771,519,790,519,1.0145
520,850,520,817.14626,520,850,520,1.0164
521,800,521,772.04121,521,800,521,1.0125
522,790,522,759.16658,522,790,522,1.0168
523,800,523,770.74712,523,800,523,1.0142
524,570,524,550.78654,524,570,524,1.0112
525,760,525,732.0654,525,760,525,1.0144
526,770,526,741.47855,526,770,526,1.0147
527,710,527,685.66061,527,710,527,1.0118
528,770,528,739.5108,528,770,528,1.0174
529,950,529,916.88949,529,950,529,1.0124
530,700,530,674.66982,530,700,530,1.0138
531,790,531,760.13843,531,790,531,1.0155
532,850,532,819.40357,532,850,532,1.0136
533,820,533,789.31536,533,820,533,1.0151
534,860,534,828.30814,534,860,534,1.0145
535,800,535,771.66014,535,800,535,1.013
536,970,536,933.33453,536,970,536,1.0155
537,970,537,938.41705,537,970,537,1.01
538,830,538,797.13501,538,830,538,1.0174
539,950,539,917.8868,539,950,539,1.0113
540,720,540,693.12567,540,720,540,1.015
541,940,541,904.11239,541,940,541,1.0159
542,820,542,789.5487,542,820,542,1.0148
543,610,543,587.75263,543,610,543,1.0141
544,720,544,693.80922,544,720,544,1.014
545,730,545,702.54476,545,730,545,1.0153
546,820,546,789.86003,546,820,546,1.0144
547,920,547,888.28605,547,920,547,1.012
548,890,548,857.11812,548,890,548,1.0146
549,810,549,779.53597,549,810,549,1.0153
550,910,550,876.98426,550,910,550,1.0139
551,970,551,933.24263,551,970,551,1.0156
552,880,552,846.81987,552,880,552,1.0154
553,860,553,830.02628,553,860,553,1.0124
554,880,554,846.9867,554,880,554,1.0152
555,1020,555,982.8964,555,1020,555,1.014
556,1060,556,1021.23993,556,1060,556,1.0142
557,880,557,847.40406,557,880,557,1.0147
558,810,558,781.30589,558,810,558,1.013
559,850,559,817.06587,559,850,559,1.0165
560,930,560,896.25863,560,930,560,1.0139
561,910,561,877.93675,561,910,561,1.0128
562,1060,562,1017.72775,562,1060,562,1.0177
563,890,563,859.82998,563,890,563,1.0114
564,900,564,866.66324,564,900,564,1.0147
565,860,565,828.2265,565,860,565,1.0146
566,800,566,770.5192,566,800,566,1.0145
567,1080,567,1038.35858,567,1080,567,1.0163
568,870,568,837.60937,568,870,568,1.0149
569,1160,569,1116.26256,569,1160,569,1.0154
570,1160,570,1117.69352,570,1160,570,1.0141
571,1110,571,1070.25584,571,1110,571,1.0134
572,1220,572,1173.1915,572,1220,572,1.0161
573,1340,573,1292.53074,573,1340,573,1.013
574,1270,574,1222.71713,574,1270,574,1.0149
575,1430,575,1376.76023,575,1430,575,1.0149
576,1320,576,1270.60521,576,1320,576,1.0151
577,1440,577,1387.48161,577,1440,577,1.0141
578,1500,578,1444.01181,578,1500,578,1.015
579,1780,579,1720.51052,579,1780,579,1.0109
580,1880,580,1814.29684,580,1880,580,1.0125
581,2000,581,1930.10302,581,2000,581,1.0125
582,1920,582,1853.6312,582,1920,582,1.0121
583,2330,583,2245.02233,583,2330,583,1.0141
584,2470,584,2376.40134,584,2470,584,1.0156
585,2700,585,2598.45324,585,2700,585,1.0153
586,3020,586,2906.9907,586,3020,586,1.0151
587,2880,587,2775.23689,587,2880,587,1.014
588,3270,588,3146.08598,588,3270,588,1.0156
589,3790,589,3653.9364,589,3790,589,1.0135
590,3620,590,3490.38391,590,3620,590,1.0134
591,3550,591,3421.53978,591,3550,591,1.0138
592,3900,592,3764.07266,592,3900,592,1.0124
593,4620,593,4444.92882,593,4620,593,1.0156
594,4890,594,4700.53189,594,4890,594,1.0165
595,4790,595,4603.95357,595,4790,595,1.0166
596,4910,596,4725.33533,596,4910,596,1.0153
597,5240,597,5038.95364,597,5240,597,1.0161
598,5650,598,5436.43309,598,5650,598,1.0155
599,5520,599,5312.39328,599,5520,599,1.0153
600,5680,600,5466.37569,600,5680,600,1.0153
601,5910,601,5689.40652,601,5910,601,1.015
602,6020,602,5786.74887,602,6020,602,1.0165
603,6370,603,6135.86391,603,6370,603,1.0144
604,6110,604,5888.90367,604,6110,604,1.0138
605,7040,605,6770.55824,605,7040,605,1.016
606,6530,606,6294.32643,606,6530,606,1.0137
607,7100,607,6826.91798,607,7100,607,1.0162
608,7420,608,7147.27005,608,7420,608,1.0144
609,6840,609,6584.04516,609,6840,609,1.0151
610,7710,610,7436.14055,610,7710,610,1.0131
611,7680,611,7413.79229,611,7680,611,1.0122
612,7880,612,7584.38089,612,7880,612,1.0152
613,8090,613,7784.96904,613,8090,613,1.0154
614,7800,614,7502.20919,614,7800,614,1.0159
615,9070,615,8758.20726,615,9070,615,1.0119
616,8730,616,8399.18368,616,8730,616,1.0156
617,9070,617,8745.24366,617,9070,617,1.0134
618,9260,618,8928.4406,618,9260,618,1.0134
619,8740,619,8416.26302,619,8740,619,1.0147
620,9330,620,8981.75343,620,9330,620,1.015
621,10710,621,10324.48496,621,10710,621,1.0136
622,10880,622,10443.03286,622,10880,622,1.018
623,10690,623,10298.09294,623,10690,623,1.0143
624,11180,624,10745.76219,624,11180,624,1.0166
625,11650,625,11210.74033,625,11650,625,1.0154
626,10760,626,10363.48319,626,10760,626,1.0145
627,11650,627,11181.00946,627,11650,627,1.0181
628,11440,628,10999.99179,628,11440,628,1.0162
629,11090,629,10685.53548,629,11090,629,1.0141
630,11600,630,11143.96815,630,11600,630,1.0171
631,10960,631,10558.19444,631,10960,631,1.0143
632,11630,632,11205.84108,632,11630,632,1.0141
633,11270,633,10835.4641,633,11270,633,1.0163
634,12210,634,11764.68784,634,12210,634,1.0141
635,11870,635,11425.82106,635,11870,635,1.0151
636,11330,636,10935.11364,636,11330,636,1.0124
637,11450,637,11041.11596,637,11450,637,1.0133
638,12150,638,11675.78979,638,12150,638,1.0168
639,11090,639,10729.97478,639,11090,639,1.0099
640,11260,640,10807.77114,640,11260,640,1.018
641,10870,641,10483.89725,641,10870,641,1.0131
642,11020,642,10622.27829,642,11020,642,1.0137
643,10500,643,10136.04414,643,10500,643,1.0122
644,10190,644,9799.99836,644,10190,644,1.016
645,10080,645,9718.12109,645,10080,645,1.0135
646,10210,646,9820.19946,646,10210,646,1.0159
647,9450,647,9097.27438,647,9450,647,1.015
648,8910,648,8572.36272,648,8910,648,1.0156
649,9560,649,9199.54314,649,9560,649,1.0154
650,8790,650,8444.43793,650,8790,650,1.0171
651,8310,651,8000.61364,651,8310,651,1.0149
652,8820,652,8479.09412,652,8820,652,1.0164
653,8060,653,7778.31518,653,8060,653,1.0125
654,7790,654,7485.2229,654,7790,654,1.0169
655,7850,655,7557.73972,655,7850,655,1.0149
656,7780,656,7514.03778,656,7780,656,1.0117
657,7230,657,6953.97082,657,7230,657,1.0159
658,7110,658,6858.12952,658,7110,658,1.013
659,6840,659,6590.53766,659,6840,659,1.0141
660,6590,660,6337.78108,660,6590,660,1.016
661,6900,661,6658.19783,661,6900,661,1.0126
662,6010,662,5802.25183,662,6010,662,1.0121
663,5770,663,5549.16492,663,5770,663,1.016
664,5710,664,5492.54251,664,5710,664,1.0158
