Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
450,830,450,797.76231,450,830
451,840,451,804.84047,451,840
452,710,452,682.22186,452,710
453,750,453,720.09039,453,750
454,780,454,747.57178,454,780
455,740,455,710.83842,455,740
456,610,456,586.71123,456,610
457,660,457,632.06476,457,660
458,740,458,712.0284,458,740
459,640,459,613.99448,459,640
460,750,460,720.44435,460,750
461,670,461,643.28075,461,670
462,790,462,755.30389,462,790
463,660,463,633.61728,463,660
464,810,464,775.56381,464,810
465,620,465,593.99067,465,620
466,660,466,632.99536,466,660
467,700,467,671.75433,467,700
468,700,468,671.75433,468,700
469,650,469,625.06104,469,650
470,850,470,816.02226,470,850
471,670,471,643.66023,471,670
472,620,472,595.21624,472,620
473,640,473,614.05477,473,640
474,810,474,777.77405,474,810
475,580,475,557.03411,475,580
476,590,476,565.19377,476,590
477,690,477,662.48316,477,690
478,730,478,700.06252,478,730
479,770,479,736.90332,479,770
480,610,480,586.07664,480,610
481,680,481,650.64431,481,680
482,790,482,759.16658,482,790
483,560,483,537.50904,483,560
484,650,484,624.13967,484,650
485,560,485,537.08697,485,560
486,650,486,625.1841,486,650
487,810,487,778.0799,487,810
488,660,488,634.61491,488,660
489,720,489,693.53564,489,720
490,760,490,730.48115,490,760
491,600,491,575.90255,491,600
492,700,492,672.74541,492,700
493,730,493,700.47501,493,730
494,770,494,738.8572,494,770
495,600,495,575.73288,495,600
496,710,496,680.8159,496,710
497,650,497,624.26236,497,650
498,640,498,612.91128,498,640
499,720,499,691.15095,499,720
500,770,500,740.45693,500,770
501,710,501,681.95361,501,710
502,630,502,605.29226,502,630
503,760,503,731.12842,503,760
504,820,504,786.6032,504,820
505,750,505,721.57935,505,750
506,810,506,777.92694,506,810
507,770,507,741.62473,507,770
508,630,508,604.51953,508,630
509,750,509,723.78863,509,750
510,750,510,720.65689,510,750
511,750,511,723.07449,511,750
512,730,512,699.44469,512,730
513,710,513,682.8934,513,710
514,780,514,749.55688,514,780
515,660,515,633.4928,515,660
516,790,516,760.06359,516,790
517,610,517,586.76899,517,610
518,660,518,634.24043,518,660
519,770,519,739.58349,519,770
520,790,520,758.49521,520,790
521,740,521,711.46792,521,740
522,810,522,779.22898,522,810
523,750,523,720.16116,523,750
524,710,524,682.35606,524,710
525,770,525,738.56708,525,770
526,650,526,624.13967,526,650
527,780,527,749.11483,527,780
528,740,528,710.55901,528,740
529,600,529,576.75238,529,600
530,650,530,624.20101,530,650
531,730,531,701.57736,531,730
532,640,532,616.5369,532,640
533,700,533,672.54696,533,700
534,780,534,751.70079,534,780
535,660,535,634.36521,535,660
536,600,536,577.8894,536,600
537,870,537,836.70251,537,870
538,720,538,691.28678,538,720
539,760,539,728.76069,539,760
540,740,540,708.0541,540,740
541,750,541,721.57935,541,750
542,750,542,718.04428,542,750
543,720,543,689.59278,543,720
544,730,544,700.19996,544,730
545,700,545,670.76617,545,700
546,550,546,528.48172,546,550
547,770,547,740.38406,547,770
548,720,548,694.49413,548,720
549,680,549,651.53752,549,680
550,740,550,711.18801,550,740
551,750,551,721.50831,551,750
552,780,552,749.77809,552,780
553,760,553,730.69678,553,760
554,570,554,546.30246,554,570
555,750,555,721.86366,555,750
556,740,556,709.86142,556,740
557,620,557,596.03609,557,620
558,750,558,719.73678,558,750
559,580,559,556.32326,559,580
560,590,560,565.97059,560,590
561,660,561,634.67737,561,660
562,860,562,827.00384,562,860
563,860,563,826.84109,563,860
564,760,564,731.92109,564,760
565,830,565,796.66519,565,830
566,790,566,759.16658,566,790
567,820,567,789.62651,567,820
568,790,568,757.75064,568,790
569,870,569,834.89467,569,870
570,810,570,779.53597,570,810
571,730,571,700.5438,571,730
572,820,572,786.68043,572,820
573,640,573,615.08152,573,640
574,760,574,728.68917,574,760
