Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS
450,740,450,711.8882,450,740
451,730,451,7132936.984,451,730
452,940,452,9876212.646,452,940
453,630,453,6691111.227,453,630
454,840,454,8921481.636,454,840
455,930,455,9985897.028,455,930
456,820,456,8804769.422,456,820
457,840,457,9119736.784,457,840
458,770,458,8359758.718,458,770
459,570,459,6188392.817,459,570
460,860,460,9336873.374,460,860
461,700,461,7599780.653,461,700
462,840,462,9222205.736,462,840
463,620,463,6731234.293,463,620
464,880,464,9554009.964,464,880
465,630,465,6839802.588,465,630
466,690,466,7491212.358,466,690
467,660,467,7165507.473,467,660
468,840,468,9119736.784,468,840
469,720,469,7731017.054,469,720
470,570,470,6188392.817,470,570
471,610,471,6622665.998,471,610
472,740,472,7945767.527,472,740
473,820,473,8804769.422,473,820
474,660,474,7086765.632,474,660
475,690,475,7408891.343,475,690
476,720,476,7731017.054,476,720
477,740,477,7945767.527,477,740
478,560,478,5947654.424,478,560
479,710,479,7623641.817,479,710
480,620,480,6657264.685,480,620
481,840,481,9019519.896,481,840
482,670,482,7194140.869,482,670
483,710,483,7623641.817,483,710
484,670,484,7194140.869,484,670
485,750,485,8053142.764,485,750
486,680,486,7301516.106,486,680
487,750,487,8142622.128,487,750
488,810,488,8697394.185,488,810
489,750,489,8053142.764,489,750
490,930,490,9985897.028,490,930
491,630,491,6691111.227,491,630
492,670,492,7115943.686,492,670
493,700,493,7516266.58,493,700
494,850,494,9126895.133,494,850
495,720,495,7731017.054,495,720
496,670,496,7274075.768,496,670
497,790,497,8482643.712,497,790
498,700,498,7434568.03,498,700
499,620,499,6731234.293,499,620
500,790,500,8576895.308,500,790
501,750,501,8053142.764,501,750
502,740,502,7945767.527,502,740
503,720,503,7731017.054,503,720
504,700,504,7516266.58,504,700
505,690,505,7408891.343,505,690
506,630,506,6764639.922,506,630
507,730,507,7925485.538,507,730
508,620,508,6657264.685,508,620
509,690,509,7408891.343,509,690
510,700,510,7516266.58,510,700
511,820,511,8804769.422,511,820
512,700,512,7516266.58,512,700
513,650,513,6979390.396,513,650
514,710,514,7540776.145,514,710
515,620,515,6731234.293,515,620
516,580,516,6227763.738,516,580
517,720,517,7731017.054,517,720
518,710,518,7708348.948,518,710
519,770,519,8267893.238,519,770
520,670,520,7194140.869,520,670
521,590,521,6335138.974,521,590
522,660,522,7086765.632,522,660
523,710,523,7708348.948,523,710
524,750,524,8053142.764,524,750
525,630,525,6764639.922,525,630
526,620,526,6584903.112,526,620
527,760,527,8160518.001,527,760
528,670,528,7115943.686,528,670
529,590,529,6335138.974,529,590
530,730,530,7753192.374,530,730
531,750,531,7965608.604,531,750
532,710,532,7540776.145,532,710
533,720,533,7646984.26,533,720
534,730,534,7669824.714,534,730
535,780,535,8284232.948,535,780
536,630,536,6691111.227,536,630
537,680,537,7222151.801,537,680
538,650,538,6903527.457,538,650
539,570,539,6053862.539,539,570
