Wavelength,S1c,Wavelength,S1c / R1c,Wavelength,S1,Wavelength,R1
nm,Undefined,nm,Undefined / MicroAmps,nm,CPS,nm,MicroAmps
450,860,450,825.05508,450,860,450,1.0185
451,800,451,8315869.408,451,800,451,9.40E-05
452,710,452,8066876.806,452,710,452,8.60E-05
453,620,453,7127189.251,453,620,453,8.50E-05
454,830,454,9541237.223,454,830,454,8.50E-05
455,710,455,8258945.301,455,710,455,8.40E-05
456,680,456,7909975.782,456,680,456,8.40E-05
457,860,457,9886101.219,457,860,457,8.50E-05
458,910,458,1.06E+07,458,910,458,8.40E-05
459,900,459,1.06E+07,459,900,459,8.30E-05
460,930,460,1.08E+07,460,930,460,8.40E-05
461,650,461,7561006.262,461,650,461,8.40E-05
462,700,462,8142622.128,462,700,462,8.40E-05
463,800,463,9305853.861,463,800,463,8.40E-05
464,860,464,1.01E+07,464,860,464,8.30E-05
465,780,465,9073207.514,465,780,465,8.40E-05
466,710,466,8258945.301,466,710,466,8.40E-05
467,940,467,1.11E+07,467,940,467,8.30E-05
468,750,468,8724237.995,468,750,468,8.40E-05
469,730,469,8491591.648,469,730,469,8.40E-05
470,570,470,6630420.876,470,570,470,8.40E-05
471,730,471,8391690.57,471,730,471,8.50E-05
472,730,472,8391690.57,472,730,472,8.50E-05
473,610,473,7012234.586,473,610,473,8.50E-05
474,720,474,8276735.904,474,720,474,8.50E-05
475,800,475,9196373.227,475,800,475,8.50E-05
476,900,476,1.03E+07,476,900,476,8.50E-05
477,730,477,8593899.981,477,730,477,8.30E-05
478,700,478,8142622.128,478,700,478,8.40E-05
479,780,479,9182523.267,479,780,479,8.30E-05
480,850,480,9887469.727,480,850,480,8.40E-05
481,810,481,9535697.239,481,810,481,8.30E-05
482,820,482,9538500.207,482,820,482,8.40E-05
483,850,483,9887469.727,483,850,483,8.40E-05
484,720,484,8375268.475,484,720,484,8.40E-05
485,910,485,1.06E+07,485,910,485,8.40E-05
486,770,486,8956884.341,486,770,486,8.40E-05
487,920,487,1.07E+07,487,920,487,8.40E-05
488,780,488,9073207.514,488,780,488,8.40E-05
489,770,489,9064798.61,489,770,489,8.30E-05
490,830,490,9654823.381,490,830,490,8.40E-05
491,910,491,1.06E+07,491,910,491,8.40E-05
492,690,492,7931871.908,492,690,492,8.50E-05
493,720,493,8375268.475,493,720,493,8.40E-05
494,970,494,1.13E+07,494,970,494,8.40E-05
495,920,495,1.07E+07,495,920,495,8.40E-05
496,590,496,6863067.222,496,590,496,8.40E-05
497,830,497,9654823.381,497,830,497,8.40E-05
498,800,498,9305853.861,498,800,498,8.40E-05
499,750,499,8724237.995,499,750,499,8.40E-05
500,720,500,8375268.475,500,720,500,8.40E-05
501,890,501,1.04E+07,501,890,501,8.40E-05
502,790,502,9081418.562,502,790,502,8.50E-05
503,770,503,9064798.61,503,770,503,8.30E-05
504,790,504,9189530.688,504,790,504,8.40E-05
505,750,505,8724237.995,505,750,505,8.40E-05
506,870,506,1.01E+07,506,870,506,8.40E-05
507,950,507,1.11E+07,507,950,507,8.40E-05
508,830,508,9541237.223,508,830,508,8.50E-05
509,750,509,8724237.995,509,750,509,8.40E-05
510,800,510,9305853.861,510,800,510,8.40E-05
511,880,511,1.02E+07,511,880,511,8.40E-05
512,760,512,8840561.168,512,760,512,8.40E-05
513,860,513,1.00E+07,513,860,513,8.40E-05
514,770,514,8956884.341,514,770,514,8.40E-05
515,700,515,8142622.128,515,700,515,8.40E-05
516,760,516,8736554.566,516,760,516,8.50E-05
517,590,517,6863067.222,517,590,517,8.40E-05
518,720,518,8375268.475,518,720,518,8.40E-05
519,850,519,9771146.554,519,850,519,8.50E-05
520,810,520,9311327.892,520,810,520,8.50E-05
521,700,521,8046826.574,521,700,521,8.50E-05
522,820,522,9426282.558,522,820,522,8.50E-05
523,850,523,9887469.727,523,850,523,8.40E-05
524,930,524,1.07E+07,524,930,524,8.50E-05
525,720,525,8375268.475,525,720,525,8.40E-05
526,740,526,8506645.235,526,740,526,8.50E-05
527,590,527,6782325.255,527,590,527,8.50E-05
